text,label
"ลุยย
",1
"เลโก
",1
"แล้ว
",1
"ว้อน
",1
"แวะๆ
",1
"สตูล
",1
"สนนน
",1
"สนปะ
",1
"สนมะ
",1
"สนมิ
",1
"สลีป
",1
"สาระ
",1
"สาสส
",1
"แสดง
",1
"หรอย
",1
"หราา
",1
"ห่าน
",1
"หิวว
",1
"หุหุ
",1
"หูยย
",1
"เห้อ
",1
"เหอะ
",1
"แหม่
",1
"โหหห
",1
"ไหมๆ
",1
"อยาก
",1
"อ้วน
",1
"อ่อย
",1
"อ่าๆ
",1
"อ่าว
",1
"อ่าา
",1
"อิ่ม
",1
"อึๆๆ
",1
"อืมๆ
",1
"อุ้ย
",1
"เอ่อ
",1
"เออๆ
",1
"เอออ
",1
"แอ๊ะ
",1
"โอเค
",1
"โอ่ย
",1
"ฮิฮิ
",1
"ฮืออ
",1
".ดิ้น
",1
"11ค่ะ
",1
"17:15
",1
"17ค่ะ
",1
"18ค่ะ
",1
"1แถม1
",1
"27 นะ
",1
"2ก้อน
",1
"2สาขา
",1
"4 น้ำ
",1
"55555
",1
"55556
",1
"555คะ
",1
"8 ค่ะ
",1
"D-max
",1
"No !!
",1
"Now!!
",1
"sk-ii
",1
"Yaris
",1
"กระบี
",1
"ก้อนๆ
",1
"ก้อนน
",1
"กะบี่
",1
"กินนน
",1
"กินมะ
",1
"กุหิว
",1
"ขำร้ะ
",1
"คับผม
",1
"ค้าบบ
",1
"ค่าาา
",1
"คือไร
",1
"เคๆ55
",1
"เคงับ
",1
"โคราช
",1
"งบหมด
",1
"งั่มๆ
",1
"ง่าาา
",1
"งื้มม
",1
"งือออ
",1
"งุ้ยย
",1
"แงๆๆๆ
",1
"แงงงง
",1
"แง่มๆ
",1
"จ - ศ
",1
"จ-ศอะ
",1
"จบสวย
",1
"จร้าๆ
",1
"จร้าา
",1
"จริงๆ
",1
"จะไป?
",1
"จะเอา
",1
"จัดแน
",1
"จัดมะ
",1
"จัดสิ
",1
"จ้าาา
",1
"จิงรึ
",1
"จิ๊บๆ
",1
"ชาบูๆ
",1
"ชุมพร
",1
"ซีวิค
",1
"ด่วน.
",1
"ด้ายย
",1
"ดีๆ🙏
",1
"ดีๆๆๆ
",1
"ดีแมก
",1
"ดูๆๆๆ
",1
"เด็กๆ
",1
"ได้ดิ
",1
"ได้ฮะ
",1
"ต่อคน
",1
"ตอบๆๆ
",1
"ตอบมา
",1
"ตั๋วๆ
",1
"ตู้วว
",1
"ถึง29
",1
"ถุย55
",1
"ที ที
",1
"ทีเดด
",1
"เธอออ
",1
"น้องๆ
",1
"นี่งะ
",1
"นี่ไง
",1
"เนี่ย
",1
"โนววว
",1
"บ่แซบ
",1
"บ่าไป
",1
"โบนัส
",1
"ปล่อย
",1
"ป่ะๆๆ
",1
"ป้ะๆๆ
",1
"ปายๆๆ
",1
"แป้ะๆ
",1
"ไปกิน
",1
"ไปนะๆ
",1
"ไปบ๋อ
",1
"ไปป่ะ
",1
"ไปม่ะ
",1
"ไปแม่
",1
"ไปไหม
",1
"พะเยา
",1
"พัทยา
",1
"ฟ้าใส
",1
"มาคับ
",1
"มารับ
",1
"มาเลย
",1
"มาและ
",1
"มาสิๆ
",1
"มีป้ะ
",1
"มีไหน
",1
"มึงร่
",1
"มึงอะ
",1
"ไม่ใจ
",1
"ไม่ไป
",1
"ไม่รุ
",1
"ยังไง
",1
"ยุไหน
",1
"เย้ๆๆ
",1
"แย้ะๆ
",1
"รอน่ะ
",1
"รอป่ะ
",1
"ระยอง
",1
"รำคาน
",1
"รีบมา
",1
"เร็วๆ
",1
"ลองดิ
",1
"ลองดู
",1
"ลำปาง
",1
"ลำพูน
",1
"ไล่ฝน
",1
"ว่าใง
",1
"ว่าไง
",1
"วึ้ยย
",1
"สงขลา
",1
"สนใจ?
",1
"สลัดๆ
",1
"ไสมาก
",1
"หมูทะ
",1
"หิวอะ
",1
"หึ หึ
",1
"หื้มม
",1
"หือออ
",1
"เหมาะ
",1
"เหอะๆ
",1
"แหมๆๆ
",1
"แหมมม
",1
"ไหมละ
",1
"ไหมอะ
",1
"อยาก?
",1
"อ้วนน
",1
"อะไร?
",1
"อะแฮม
",1
"อิ_อิ
",1
"อีบ้า
",1
"อึหือ
",1
"อุ้วๆ
",1
"อูมาา
",1
"อูยยย
",1
"อู้วว
",1
"เอาาา
",1
"เอิ่ม
",1
"เอือน
",1
"โอเคร
",1
"ฮ่าๆๆ
",1
"ฮุนได
",1
"......
",1
"....😁
",1
"=+1 คะ
",1
"☺️☺️☺️
",1
"✌️✌️✌️
",1
"🐷🐷🐷
",1
"💜💜💜
",1
"🤔🤔🤔
",1
"😂😂😂
",1
"😅😅😅
",1
"11 นี้
",1
"1บุญชุ
",1
"22 จ้า
",1
"25ดีมะ
",1
"343ค่ะ
",1
"343จ้ะ
",1
"48 ชม.
",1
"4คนครบ
",1
"4หม้อๆ
",1
"5 บาทๆ
",1
"55 ไปๆ
",1
"555 รอ
",1
"555+++
",1
"555555
",1
"555556
",1
"555หิว
",1
"600มล.
",1
"ganier
",1
"Hotpot
",1
"M2ครับ
",1
"Mazda2
",1
"MG3 55
",1
"ก็ดีนะ
",1
"กระบี่
",1
"กราบบบ
",1
"กิงงงๆ
",1
"กิน285
",1
"กินม่ะ
",1
"กินยับ
",1
"กินไหม
",1
"กินอ๋อ
",1
"กี่โมง
",1
"กูว่าง
",1
"แก นี้
",1
"แกกกกก
",1
"ขวาสุด
",1
"ของเขา
",1
"ขอเถอะ
",1
"ขี้ดิ.
",1
"ครับบบ
",1
"ครับผม
",1
"ค้ะๆ😘
",1
"คิดมาก
",1
"คือ???
",1
"คือหิว
",1
"คุณขาา
",1
"คุ้มนะ
",1
"เคๆค่ะ
",1
"เครๆๆๆ
",1
"เครค่ะ
",1
"เครป่ะ
",1
"เคหยัง
",1
"งั้นอด
",1
"งือๆๆๆ
",1
"งื้อออ
",1
"งืออออ
",1
"แง่มๆๆ
",1
"แง้ะะะ
",1
"จบข่าว
",1
"จบเลยย
",1
"จริงๆๆ
",1
"จริงงง
",1
"จริงงะ
",1
"จริงนะ
",1
"จริงอะ
",1
"จ้อนนๆ
",1
"จะรอดู
",1
"จัดค่ะ
",1
"จัดม่ะ
",1
"จัดเรย
",1
"จัดไหม
",1
"จิงจัง
",1
"เจมสัน
",1
"เจอกัน
",1
"ชวนใคร
",1
"ชายน้ำ
",1
"ชีสส😍
",1
"ชุนพอน
",1
"ชุมพร-
",1
"ชุมพร.
",1
"แชร์คะ
",1
"ใช่ค่ะ
",1
"ใช่คับ
",1
"ใช่เลย
",1
"ซีแกรม
",1
"ซื้อสิ
",1
"ซู่ซ่า
",1
"เซเว่น
",1
"แซ้ปนะ
",1
"ด้วยๆๆ
",1
"ดีคนับ
",1
"ดูก่อน
",1
"ได้ค่ะ
",1
"ได้ค้ะ
",1
"ได้คับ
",1
"ได้หมด
",1
"ตอนไหน
",1
"ตอบแทน
",1
"ตู้มมม
",1
"เตงงงง
",1
"ถุยยยย
",1
"ถูกเลย
",1
"ทำไมอะ
",1
"ที่ไหน
",1
"ทุกพุธ
",1
"ทุกวัน
",1
"เทออออ
",1
"เท่าไร
",1
"น่อววว
",1
"นะะะะะ
",1
"นัดวัน
",1
"นั้นนะ
",1
"น่ารอง
",1
"นิสสัน
",1
"นี่ใคร
",1
"เนอะๆๆ
",1
"เนาะ ๆ
",1
"เนี้ยๆ
",1
"แน่นอน
",1
"ในห้าง
",1
"บรรหาน
",1
"บอกซ้า
",1
"บอกพ่อ
",1
"บึงกาฬ
",1
"ป่ะๆๆๆ
",1
"ป๊ะๆๆๆ
",1
"ป๊ะป๋า
",1
"ป๋าขาา
",1
"ป้าจ้า
",1
"ปายยยย
",1
"เปลือง
",1
"ไปทำไร
",1
"ไปบ้ๆๆ
",1
"ไปเหรอ
",1
"ไปใหม่
",1
"พลีสสส
",1
"พาไปสิ
",1
"พิกัดๆ
",1
"มะไหร่
",1
"มาๆจัด
",1
"มาค้าบ
",1
"ม่ายยย
",1
"มีเงิน
",1
"มึงงงง
",1
"เมิงๆๆ
",1
"แม่มึง
",1
"ไม่จ๊ะ
",1
"ยังไงๆ
",1
"ยัดไส้
",1
"ยากเด้
",1
"เยนหรอ
",1
"รอๆๆๆๆ
",1
"รอก่อน
",1
"รอครับ
",1
"ร้ายคด
",1
"เรามี3
",1
"ลด 20%
",1
"ลดหุ่น
",1
"ลองมะะ
",1
"ลองยัง
",1
"ลองไหม
",1
"ลุยไหม
",1
"ลูกหมู
",1
"เลี้ยง
",1
"แลกกัน
",1
"ว๊อนนน
",1
"วันจัน
",1
"วันน่ะ
",1
"วันนี้
",1
"วันสุก
",1
"ว่าใคร
",1
"ว่าง22
",1
"ว่างปะ
",1
"ว่าไงๆ
",1
"สนครับ
",1
"สนป่าว
",1
"สนม่ะๆ
",1
"สนไหม๊
",1
"สนไหมม
",1
"สวัสดี
",1
"สองชุด
",1
"สักนิด
",1
"แสงโสม
",1
"หนาวอะ
",1
"หมด 29
",1
"หราาาา
",1
"หิว555
",1
"หิวจัง
",1
"หิวจาง
",1
"หิวจุง
",1
"หิวเด้
",1
"หิวเลย
",1
"หิวววว
",1
"หิวว่ะ
",1
"หิวหรอ
",1
"หืมมมม
",1
"หื้อออ
",1
"หูยยย์
",1
"เห่ยยย
",1
"เหลือๆ
",1
"เหื้ออ
",1
"แหมมมม
",1
"โหลลลล
",1
"ไหนตัง
",1
"อดทนนะ
",1
"อเมร่า
",1
"อยากทำ
",1
"อยากนื
",1
"อย่ามา
",1
"อ้วน!!
",1
"อ้วนนะ
",1
"ออลนิว
",1
"อะเครร
",1
"อะหนัก
",1
"อ่านสิ
",1
"อ้าวรึ
",1
"อิ่มละ
",1
"อือหือ
",1
"เออ จบ
",1
"เออได้
",1
"เอาๆฟฟ
",1
"เอาป่ะ
",1
"เอาสิๆ
",1
"เอาไหม
",1
"เอ้าาา
",1
"ไออ้วน
",1
"ฮอตพอต
",1
"ฮอทพอท
",1
"ฮ่าๆๆๆ
",1
"ฮืออออ
",1
"=+18ค้ะ
",1
"=+1ครับ
",1
"199 อ่า
",1
"29ธันวา
",1
"343 ค่ะ
",1
"343 อ้ะ
",1
"343ครับ
",1
"5555555
",1
"5จุดค่ะ
",1
"6ตัวค่ะ
",1
"9ตัวค่ะ
",1
"L'Oréal
",1
"Show DC
",1
"กรี๊ดดด
",1
"กลัวววว
",1
"กินแกรบ
",1
"กินนนนน
",1
"โกๆๆๆๆๆ
",1
"ขนเสดไง
",1
"ขอนแก่น
",1
"ขอรแก่น
",1
"ขอวาร์ป
",1
"ขึ้นคับ
",1
"แขบๆหลบ
",1
"คคคคคคค
",1
"คนเดียว
",1
"คนละ250
",1
"ครีมชีส
",1
"คัดสรรๆ
",1
"คิดก่อน
",1
"คือดีย์
",1
"เครบุ้ย
",1
"เค้าหิว
",1
"งอเเงไร
",1
"งื้ออออ
",1
"แง่ๆๆๆๆ
",1
"แง่มมมม
",1
"จริงๆนะ
",1
"จริงป่ะ
",1
"จริงไหม
",1
"จริงอ่ะ
",1
"จัดแปะะ
",1
"จัดไปดิ
",1
"จัดไปปป
",1
"จัดมั้ย
",1
"จัดมาาา
",1
"จัดเลยๆ
",1
"จัดหนัก
",1
"จัน-ศุก
",1
"แจ่มเลย
",1
"ชวยครับ
",1
"ใช่ครับ
",1
"ซาลาเปา
",1
"ซีวิคFd
",1
"ซื้อเลย
",1
"ดูดส้วม
",1
"เด๊ดเลย
",1
"เดี๋ยว!
",1
"เดือน11
",1
"แดกลีโอ
",1
"ได้ข้าว
",1
"ได้ตกลง
",1
"ได้สิ55
",1
"ได้หมดด
",1
"ตลอดดดด
",1
"ต้องไหม
",1
"ตัววววว
",1
"ตาปรืบๆ
",1
"ตามๆคับ
",1
"ตามครับ
",1
"ตามใจ😙
",1
"ตายล้าว
",1
"ตายแล้ว
",1
"ตายห่าน
",1
"เตงพ่อง
",1
"แต่งตัว
",1
"ถูกต้อง
",1
"ทรัพจาง
",1
"ทราบจ้า
",1
"ทันมะละ
",1
"ทำงานละ
",1
"ทำไงคะ?
",1
"ทำไมอ่า
",1
"ทีเด็ดๆ
",1
"ทุกแท่ง
",1
"แท็กยาย
",1
"นอนเถอะ
",1
"นานละนะ
",1
"นี้ๆง่ะ
",1
"โนชีสคะ
",1
"บ่มีตัง
",1
"บะใจถึง
",1
"บันเทิง
",1
"บาทครับ
",1
"บุฟๆๆๆๆ
",1
"ปปปป.))
",1
"ป๋องดำๆ
",1
"ป้ะๆๆๆๆ
",1
"ปะเนี้ย
",1
"ปัตตานี
",1
"แปดริ้ว
",1
"ไปกินชิ
",1
"ไปกินบ่
",1
"ไปจิงนะ
",1
"ไปไม่ไป
",1
"ไปหมดอะ
",1
"ไปเหมาๆ
",1
"ไปไหมละ
",1
"ไปเอามา
",1
"พร้อมนิ
",1
"พระราม9
",1
"พ่อเอ๊ย
",1
"พักเนาะ
",1
"พาไปสิ่
",1
"พี่ขาาา
",1
"ฟรีค่าา
",1
"ฟังไว้ๆ
",1
"มะมีตัง
",1
"มันเข้ม
",1
"มันดีนะ
",1
"มาไงว่ะ
",1
"มาแล้วๆ
",1
"มาสด้า2
",1
"มาอีกละ
",1
"มิสทีน~
",1
"มียุดยา
",1
"มึงดูดิ
",1
"มื้อได๋
",1
"มือได่ๆ
",1
"เมื่อไร
",1
"ไม่ว่าง
",1
"ไม่เห็น
",1
"ไม่อิ่ม
",1
"ยั่วจิง
",1
"ยั่วยวน
",1
"เย้ๆ 😘
",1
"เย็นนี้
",1
"เย้ยยยย
",1
"เยี่ยมม
",1
"โย่วววว
",1
"รอๆ😂😂
",1
"ร้องไห้
",1
"รอสมัคร
",1
"ร้ายกาจ
",1
"ลดถึง14
",1
"ลอรีเอะ
",1
"ละปุ้นน
",1
"ลิตร499
",1
"ลิ้นจี่
",1
"ลืมสั่ง
",1
"เลิกงาน
",1
"เลี้ยงๆ
",1
"แล้วแต่
",1
"วันนี้?
",1
"วันเพ็ญ
",1
"วันหน้า
",1
"วันหยุด
",1
"วันหัสส
",1
"ว่างมาก
",1
"ว่าจะไป
",1
"ว่ามาคะ
",1
"แว๊น555
",1
"ไวจังอะ
",1
"ส. 👌🏻
",1
"สนไหม??
",1
"สเมอนอฟ
",1
"สระแก้ว
",1
"สาธุค่ะ
",1
"สายเข้า
",1
"สุดๆกัน
",1
"แสงโสม!
",1
"หงส์ทอง
",1
"หมดหล่ะ
",1
"หมูทะะะ
",1
"หยักกิง
",1
"หยุดจ้ะ
",1
"หร่อยนะ
",1
"หลาบจิง
",1
"หว่า อด
",1
"ห่านนนน
",1
"หิวจังง
",1
"หิวเด้อ
",1
"หิวมั้ย
",1
"หิววคับ
",1
"หิววววว
",1
"หื้มๆๆๆ
",1
"หืมมมมม
",1
"เหววววว
",1
"แหลกยับ
",1
"แหะๆ 😝
",1
"ใหญ่จิง
",1
"ไหนเงิน
",1
"อยากลอง
",1
"อยากเลย
",1
"อ้วนนะๆ
",1
"อโศกค่ะ
",1
"อ่อๆเคร
",1
"อะเคจ้า
",1
"อะไรว้ะ
",1
"อั่นก่า
",1
"อ่างทอง
",1
"อ่านไหม
",1
"อาไรจ่ะ
",1
"อ่าว555
",1
"อ้าวววว
",1
"อ้าวหรอ
",1
"อิเดาะะ
",1
"อื้อหือ
",1
"อุ้ตะ!!
",1
"อุ้วๆๆๆ
",1
"เองงงงง
",1
"เอ้า555
",1
"เอาครับ
",1
"เอาน่อย
",1
"โอ้ยหิว
",1
"ใอ่อ้วน
",1
"ไอป้างง
",1
"ไอ้อ้วน
",1
"ฮารเบอร
",1
"ไฮเนเกน
",1
"เเคปแปป
",1
"=+++++10
",1
"=+1 ตุ๊ก
",1
"☝️☝️☝️☝️
",1
"👍🏻👍🏻
",1
"29 เลยมะ
",1
"29กี่โมง
",1
"3 ลูก 50
",1
"36รูปแบบ
",1
"5555 พนๆ
",1
"5ทุ่ม555
",1
"6 ตัวค่ะ
",1
"6พันกว่า
",1
"BLEND285
",1
"mk ชีสละ
",1
"Mu x ค่ะ
",1
"Mu X ค้ะ
",1
"MU-X ค่ะ
",1
"ก็ดีน555
",1
"กล้าปะละ
",1
"กอน อะไร
",1
"กันแดดคะ
",1
"การ์ตูน?
",1
"กินไหมละ
",1
"กินอีกละ
",1
"กุหิวววว
",1
"กูกะอยาก
",1
"กูว่างนะ
",1
"เก็บเงิน
",1
"เกบตังงง
",1
"ไกลไปน่ะ
",1
"ขอบคุนคะ
",1
"ขอไปด้วย
",1
"ขายวีออส
",1
"คร่อกกกก
",1
"คราวหน้า
",1
"คิดถึงนะ
",1
"เคร ครับ
",1
"โคตรดีย์
",1
"ใคเลี้ยง
",1
"งานฟรีวะ
",1
"งื้อออออ
",1
"จริงปะละ
",1
"จะกินติม
",1
"จะกินหรา
",1
"จัดป่ะละ
",1
"จัดไป555
",1
"จัดไปจ้า
",1
"จัดไปพี่
",1
"จัดมาฮีต
",1
"จัดไหมละ
",1
"จ้าก้อนน
",1
"จากินนนน
",1
"จ่ายด้วย
",1
"จ๋าาาจ้ะ
",1
"จ้าาาาาา
",1
"จิงดิคับ
",1
"จุ๊บบบบบ
",1
"เจ๊มอๆาิ
",1
"เฉลยที55
",1
"ชม ชมพู่
",1
"ช่วงรดไง
",1
"ชีสสสสสส
",1
"ชุมพรค่ะ
",1
"เชียงราย
",1
"ซื้อออออ
",1
"โซเว่นไง
",1
"ด้วย ๆๆๆ
",1
"ดองเงินๆ
",1
"ดีๆๆ อ้ะ
",1
"ดีเลยค่ะ
",1
"ดื่มลีโอ
",1
"ดูโปรแปป
",1
"เด็กกกกก
",1
"เด็กอ้วน
",1
"ได้ๆ คับ
",1
"ตอนไหนดี
",1
"ตังค์ใคร
",1
"ตังไม่มี
",1
"ตัวจ๋าาา
",1
"ตางละเจ้
",1
"ตาแซบคัก
",1
"ตามนี้คะ
",1
"ตำเธอหรา
",1
"ถึง29นี้
",1
"โถ่ววววว
",1
"ทาร์ตไข่
",1
"ที่รักกก
",1
"ที่ไหนมี
",1
"เท่าไรคะ
",1
"เท่าไหย่
",1
"เท่าไหร่
",1
"แท็กเฉยๆ
",1
"แท้กเฉยๆ
",1
"น้องใหม่
",1
"น้องอยาก
",1
"นอน ชิวว
",1
"นั่นสินะ
",1
"นางกินนน
",1
"นานา ค่ะ
",1
"น่าสนไหม
",1
"นี้ๆๆๆๆๆ
",1
"เน๊อะ 55
",1
"เนี้ยยยย
",1
"เนื้อวัว
",1
"แน่นวลลล
",1
"บ่เคยคึด
",1
"บาบีก้อน
",1
"บิ๋ม คับ
",1
"บุรีรัมย
",1
"เบตงครับ
",1
"เบลน285.
",1
"ประสาททท
",1
"ปล่อยดอก
",1
"ปักกงนี้
",1
"ป๋าเตยยย
",1
"ป๋าาาาาา
",1
"ปีใด่ว่ะ
",1
"ปีใหม่ๆๆ
",1
"เป็ดย่าง
",1
"แป่ววววว
",1
"ไป!ไปนอน
",1
"ไปกับใคร
",1
"ไปกินไหม
",1
"ไปจริงนิ
",1
"ไปตอนนี้
",1
"ไปตอนไหน
",1
"ไปเถอะนะ
",1
"ไปมียค่ะ
",1
"ไปเลยป่ะ
",1
"ไปวันไหน
",1
"ไปไหนอีก
",1
"ไปไหมค่ะ
",1
"ไปไหมแฟน
",1
"ไปไหมเรา
",1
"ผมก็ลบละ
",1
"ผัวไหนละ
",1
"เผ็ดมั้ย
",1
"ฝั่งขึ้น
",1
"ใฝเลี้ยง
",1
"พร้อมๆ🐷
",1
"พร้อมไหม
",1
"พลีสสส🙏
",1
"พอก่อนนะ
",1
"พายเรือ?
",1
"พี่ต้าไง
",1
"พูดไรวะๆ
",1
"โพเลี้ยง
",1
"ม่วยยยยย
",1
"มันคือไร
",1
"มันน่าสน
",1
"มันบ่แซบ
",1
"มาจัดป่ะ
",1
"ม่ายยยยย
",1
"มารับเรย
",1
"มาแล้วคะ
",1
"มาสด้า 2
",1
"มาแหมล่ะ
",1
"มี2คน555
",1
"มีให้ค่ะ
",1
"มื้อได๋ๆ
",1
"มุ่ยอิ่ม
",1
"เมเลี้ยง
",1
"แมคโดนัล
",1
"ไม่เด็ดด
",1
"ไม่แดกจบ
",1
"ไม่ไปล่ะ
",1
"ไม่มี !!
",1
"ไม่มี555
",1
"ไม่มีค่ะ
",1
"ไม่มีค่า
",1
"ไม่มีตัง
",1
"ยังไงดีๆ
",1
"ยังสิ555
",1
"ยั่วๆ 😱
",1
"ย่างกุ้ง
",1
"ยุแถวใหน
",1
"ยูจะกิน?
",1
"เย้ ๆ ^^
",1
"เยดด 555
",1
"เย้ป๊าไป
",1
"เย้เย้~~
",1
"ร่วมจ้าา
",1
"รอกินฟรี
",1
"รอแกไง55
",1
"รอไปก่อน
",1
"รอเลยยยย
",1
"รักHonda
",1
"ร้ายจิงๆ
",1
"เร็วๆนี้
",1
"เราไปลอง
",1
"ไรมึงอีก
",1
"ลงไม่ได้
",1
"ลบแอฟ จบ
",1
"ลองป่ะละ
",1
"ลองม่ะ??
",1
"ลองยังงง
",1
"ลองไหม55
",1
"ลากนาตมา
",1
"ลาวาก่อน
",1
"ลูกวีออส
",1
"เลยปะล่ะ
",1
"เลิฟ ๆ^^
",1
"เลี้ยงงะ
",1
"เลี้ยงติ
",1
"เลี้ยงที
",1
"เลี้ยงนะ
",1
"เลี้ยงไป
",1
"เลี้ยงรึ
",1
"เลี้ยงสิ
",1
"ว้อทมากก
",1
"วันทิตย๋
",1
"วันนี้ไป
",1
"วันนี้มะ
",1
"วันมีตัง
",1
"วันหนายย
",1
"วันหลังๆ
",1
"วันไหนวะ
",1
"วันอาทิต
",1
"ว่าไงคุณ
",1
"ว่าไงจ่ะ
",1
"สนใจป่าว
",1
"สนป่ะตัว
",1
"สนม่ะค่ะ
",1
"สวัสดีคะ
",1
"สอบเสร็จ
",1
"สาธุสาธุ
",1
"สีขาวคับ
",1
"สี่รูๆๆๆ
",1
"สุ้ๆครับ
",1
"สุรินทร์
",1
"แสงโสม❤❤
",1
"แสงโสมมม
",1
"ใส่ปากนะ
",1
"หน้าคุ้น
",1
"หนาวด้วย
",1
"หมูทะป่ะ
",1
"หราาาาา~
",1
"หลาวมึงง
",1
"ห้ะใรน้ะ
",1
"หาคนจ่าย
",1
"หาตังแปป
",1
"หาตังแพพ
",1
"หารค่ะ🐷
",1
"หารรรรรร
",1
"หิว55555
",1
"หิวใช่มะ
",1
"หิวบาบี้
",1
"หิวววววว
",1
"หื้มมม🤡
",1
"หื๊ยยยยย
",1
"เห็นด้วย
",1
"เห็นแย้ว
",1
"เหล้า285
",1
"เหล้าเรด
",1
"โห้ไรว้า
",1
"ไหนตังค์
",1
"อยาก_ๆๆๆ
",1
"อยากกิน?
",1
"อยากซูชิ
",1
"อยากปะทะ
",1
"อยากละสิ
",1
"อยากอ่ดิ
",1
"อยากอยุ่
",1
"อยู่บ้าน
",1
"อ้วนนนนน
",1
"ออครับผม
",1
"อะเครค่ะ
",1
"อะรายยยย
",1
"อัลเมร่า
",1
"อ่านใหม่
",1
"อ้าวเห้ย
",1
"อิ่มเป่า
",1
"อิ่มมั้ย
",1
"อิลิอิลิ
",1
"อุด้งพี่
",1
"อู้วหู้ว
",1
"เออใช่ๆๆ
",1
"เออพนเลย
",1
"เอาดิ วน
",1
"เอาหน่อย
",1
"เอาอีกละ
",1
"แอคคอด ๆ
",1
"โอเค5555
",1
"โอเคครับ
",1
"โอเคค้าบ
",1
"โอเครคับ
",1
"โอ้ววหิว
",1
"ฮอทพอทๆๆ
",1
"ฮ่าๆๆๆๆๆ
",1
"โฮกาเด้น
",1
"ไฮเนเก้น
",1
"เเกร๊ 😍
",1
".........
",1
"#ubeer 🤘
",1
"#ลุยยยฮ่ะ
",1
"<<<รักแฟน
",1
"= หงษ์ทอง
",1
"=+++++!!!
",1
"100 piper
",1
"17มั้ยจ้ะ
",1
"29 เจอกัน
",1
"3 เจ้าค่ะ
",1
"31เน้ออออ
",1
"3️⃣4️⃣3️⃣
",1
"48 ชม.คับ
",1
"5 จุดครับ
",1
"55 อยากกก
",1
"55555 ว้อ
",1
"55555ใช่ๆ
",1
"5555จัดไป
",1
"etude ค่า
",1
"Honda crv
",1
"Hotpot555
",1
"Mazda cx5
",1
"ok 😍😍😍
",1
"Only you!
",1
"Red Label
",1
"Red lable
",1
"sangsom??
",1
"ก็ได้!!!!
",1
"ก็น่าไปนะ
",1
"กระเทียม?
",1
"กล่องข้าว
",1
"กลับยังงง
",1
"การเงินลา
",1
"กินก่อนไป
",1
"กินละหร๋อ
",1
"กินสิงห์ๆ
",1
"กุคนฟรีนะ
",1
"กุมีตัง55
",1
"กุอยากกิน
",1
"กูลองแล้ว
",1
"กูอยากลอง
",1
